Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),1,1,2,2,1,0,2,2,1,4,2,1,19
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),1,1,3,3,1,0,2,2,1,4,2,1,21
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,1,0,0,0,1,0,2,0,0,0,0,4
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,1,4,1,0,3,0,1,0,1,1,1,2,15
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,5,7,8,6,8,5,3,4,6,7,8,0,67
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,8,16,17,20,18,12,5,17,15,11,14,11,164
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0,0,0,1,0,0,0,0,0,5,6
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE ESTUPRO (4),0,0,1,1,0,1,0,0,1,0,1,0,5
ESTUPRO,0,0,1,1,0,0,0,0,0,0,0,0,2
ESTUPRO DE VULNERÁVEL,0,0,0,0,0,1,0,0,1,0,1,0,3
TOTAL DE ROUBO - OUTROS (1),11,10,11,9,12,6,5,10,9,3,8,7,101
ROUBO - OUTROS,11,10,11,9,12,6,5,10,9,3,8,7,101
ROUBO DE VEÍCULO,3,0,1,1,4,5,1,1,3,0,0,5,24
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,0,0,0,0,0,0,0,0,0,0,0,0,0
FURTO - OUTROS,18,27,13,11,18,22,31,29,23,44,21,30,287
FURTO DE VEÍCULO,2,1,6,0,0,0,3,0,2,0,1,2,17
