Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,1,1,1,4,1,0,3,0,1,0,0,12
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,1,1,1,4,1,0,5,0,1,0,0,14
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,1,0,0,0,0,0,1,0,0,2,1,0,5
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,1,2,0,2,1,1,2,1,0,3,1,8,22
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,7,7,6,6,1,5,2,3,2,2,3,11,55
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,32,16,10,15,12,19,16,15,15,12,10,12,184
LESÃO CORPORAL CULPOSA - OUTRAS,1,3,0,0,0,0,0,0,0,0,0,0,4
LATROCÍNIO,0,0,0,0,0,0,1,0,0,0,0,0,1
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,1,0,0,0,0,0,1
TOTAL DE ESTUPRO (4),1,0,4,0,0,2,1,1,2,2,1,0,14
ESTUPRO,1,0,2,0,0,1,1,0,0,0,0,0,5
ESTUPRO DE VULNERÁVEL,0,0,2,0,0,1,0,1,2,2,1,0,9
TOTAL DE ROUBO - OUTROS (1),23,15,23,20,21,18,7,14,1,13,11,13,179
ROUBO - OUTROS,23,15,23,20,21,18,7,14,1,13,11,13,179
ROUBO DE VEÍCULO,4,2,1,0,3,0,0,2,1,3,2,0,18
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,0,0,0,0,0,0,0,0,0,0,0,0,0
FURTO - OUTROS,26,33,30,41,41,29,29,30,18,31,37,34,379
FURTO DE VEÍCULO,3,4,4,5,2,4,4,1,0,0,0,2,29
