Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),1,1,0,1,0,0,0,0,0,0,0,0,3
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),1,1,0,1,0,0,0,0,0,0,0,0,3
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,1,1,0,0,0,0,0,0,0,0,0,0,2
HOMICÍDIO CULPOSO OUTROS,0,1,0,0,0,0,0,0,0,0,0,0,1
TENTATIVA DE HOMICÍDIO,0,2,2,1,0,0,0,0,0,0,0,0,5
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,5,9,9,5,0,0,0,0,0,0,0,0,28
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,4,1,3,3,0,0,0,0,0,0,0,0,11
LESÃO CORPORAL CULPOSA - OUTRAS,4,0,0,0,0,0,0,0,0,0,0,0,4
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE ESTUPRO (4),0,2,1,1,0,0,0,0,0,0,0,0,4
ESTUPRO,0,0,0,0,0,0,0,0,0,0,0,0,0
ESTUPRO DE VULNERÁVEL,0,2,1,1,0,0,0,0,0,0,0,0,4
TOTAL DE ROUBO - OUTROS (1),2,8,8,10,0,0,0,0,0,0,0,0,28
ROUBO - OUTROS,2,8,8,10,0,0,0,0,0,0,0,0,28
ROUBO DE VEÍCULO,1,2,1,3,0,0,0,0,0,0,0,0,7
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,0,0,0,0,0,0,0,0,0,0,0,0,0
FURTO - OUTROS,35,32,32,46,0,0,0,0,0,0,0,0,145
FURTO DE VEÍCULO,1,4,5,1,0,0,0,0,0,0,0,0,11
