Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,1,2,0,1,0,2,2,3,2,0,1,14
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,1,2,0,1,0,2,2,3,2,0,1,14
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,1,0,0,0,1,0,0,1,0,1,0,0,4
HOMICÍDIO CULPOSO OUTROS,0,0,1,0,0,0,0,0,0,0,0,0,1
TENTATIVA DE HOMICÍDIO,0,0,2,2,0,0,0,1,3,0,0,1,9
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,5,7,6,10,3,9,6,4,4,5,11,7,77
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,9,5,6,4,4,4,8,17,3,5,3,5,73
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0,0,0,0,0,0,0,0,0,1,1
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE ESTUPRO (4),0,0,1,0,0,1,1,2,0,0,0,0,5
ESTUPRO,0,0,0,0,0,1,1,0,0,0,0,0,2
ESTUPRO DE VULNERÁVEL,0,0,1,0,0,0,0,2,0,0,0,0,3
TOTAL DE ROUBO - OUTROS (1),14,6,14,17,21,17,15,8,15,9,8,4,148
ROUBO - OUTROS,14,6,14,17,21,17,15,8,15,9,8,4,148
ROUBO DE VEÍCULO,1,2,1,1,6,1,0,0,1,0,0,1,14
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,0,0,0,0,0,0,0,0,0,0,0,0,0
FURTO - OUTROS,33,26,40,33,29,42,38,50,26,38,29,33,417
FURTO DE VEÍCULO,3,5,5,3,9,0,5,0,0,3,0,6,39
