Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,0,1,0,0,0,0,0,0,0,0,0,1
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,1,0,0,0,0,0,0,0,0,0,1
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,0,0,1,1,0,0,0,0,0,0,0,0,2
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,8,9,6,10,0,0,0,0,0,0,0,0,33
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,11,8,4,4,0,0,0,0,0,0,0,0,27
LESÃO CORPORAL CULPOSA - OUTRAS,0,1,0,0,0,0,0,0,0,0,0,0,1
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE ESTUPRO (4),0,0,1,1,0,0,0,0,0,0,0,0,2
ESTUPRO,0,0,0,0,0,0,0,0,0,0,0,0,0
ESTUPRO DE VULNERÁVEL,0,0,1,1,0,0,0,0,0,0,0,0,2
TOTAL DE ROUBO - OUTROS (1),10,12,12,13,0,0,0,0,0,0,0,0,47
ROUBO - OUTROS,10,12,12,13,0,0,0,0,0,0,0,0,47
ROUBO DE VEÍCULO,1,3,3,0,0,0,0,0,0,0,0,0,7
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,0,0,0,0,0,0,0,0,0,0,0,0,0
FURTO - OUTROS,29,15,16,18,0,0,0,0,0,0,0,0,78
FURTO DE VEÍCULO,1,1,4,1,0,0,0,0,0,0,0,0,7
