Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,1,1,0,1,1,0,0,0,0,1,0,5
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,1,1,0,1,1,0,0,0,0,1,0,5
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,1,1,0,0,0,0,0,1,0,0,1,4
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,0,0,0,1,1,2,0,0,0,0,0,2,6
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,8,8,14,7,5,5,3,9,12,4,3,4,82
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,5,3,15,11,7,1,3,2,3,11,6,7,74
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,1,0,1,0,0,1,0,0,0,0,3
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE ESTUPRO (4),0,0,3,1,1,0,1,1,1,0,1,0,9
ESTUPRO,0,0,0,0,0,0,1,0,0,0,0,0,1
ESTUPRO DE VULNERÁVEL,0,0,3,1,1,0,0,1,1,0,1,0,8
TOTAL DE ROUBO - OUTROS (1),12,20,19,7,3,5,5,10,7,11,8,5,112
ROUBO - OUTROS,12,20,19,7,3,5,5,10,7,11,8,5,112
ROUBO DE VEÍCULO,3,1,1,3,2,1,1,1,1,0,1,0,15
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,0,0,0,0,0,0,0,0,0,0,0,0,0
FURTO - OUTROS,20,18,26,14,13,18,11,15,20,12,17,24,208
FURTO DE VEÍCULO,1,2,0,0,0,2,2,2,3,2,4,2,20
