Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
OCORRÊNCIAS DE PORTE DE ENTORPECENTES,2,1,1,2,1,0,1,1,1,1,1,0,12
OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,1,2,0,1,3,5,2,5,1,1,1,3,25
OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),0,0,0,0,0,0,0,0,0,0,0,0,0
OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,0,2,1,1,0,1,0,1,0,0,0,1,7
Nº DE ARMAS DE FOGO APREENDIDAS,2,1,0,1,0,1,0,1,0,1,0,1,8
Nº DE FLAGRANTES LAVRADOS,5,4,2,1,1,8,5,6,1,4,0,2,39
Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,0,2,0,1,0,0,0,0,0,0,2,0,5
Nº DE INFRATORES APREENDIDOS POR MANDADO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE PESSOAS PRESAS EM FLAGRANTE,5,4,2,1,1,8,5,6,1,5,0,2,40
Nº DE PESSOAS PRESAS POR MANDADO,2,3,0,0,0,0,0,2,0,0,0,0,7
Nº DE PRISÕES EFETUADAS,7,7,2,1,1,8,5,8,1,4,0,2,46
Nº DE VEÍCULOS RECUPERADOS,2,2,2,2,4,1,2,4,2,1,2,1,25
TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS,12,13,8,20,1,9,8,11,7,11,1,9,110
