Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
OCORRÊNCIAS DE PORTE DE ENTORPECENTES,1,0,2,1,2,0,0,1,0,3,3,0,13
OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,0,0,0,0,0,0,0,0,0,0,0,0,0
OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),0,0,0,0,0,0,0,0,0,0,0,0,0
OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,0,4,0,1,2,2,2,0,1,2,0,2,16
Nº DE ARMAS DE FOGO APREENDIDAS,0,4,0,0,3,3,3,0,2,1,1,3,20
Nº DE FLAGRANTES LAVRADOS,4,8,4,2,4,4,5,3,4,0,2,6,46
Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,0,0,0,0,0,0,0,1,0,0,0,2,3
Nº DE INFRATORES APREENDIDOS POR MANDADO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE PESSOAS PRESAS EM FLAGRANTE,4,8,4,2,4,5,6,3,4,0,2,7,49
Nº DE PESSOAS PRESAS POR MANDADO,0,1,1,0,2,0,1,1,2,0,0,0,8
Nº DE PRISÕES EFETUADAS,4,9,5,2,6,4,6,4,6,0,2,6,54
Nº DE VEÍCULOS RECUPERADOS,6,1,3,3,5,4,0,4,3,2,2,5,38
TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS,23,11,25,17,29,20,26,25,12,18,26,13,245
