Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
OCORRÊNCIAS DE PORTE DE ENTORPECENTES,0,10,1,0,5,2,2,0,3,0,4,1,28
OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,0,0,0,0,0,0,0,0,0,0,0,0,0
OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),0,0,0,0,0,0,0,0,0,0,0,0,0
OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,0,2,2,0,0,1,2,0,0,2,1,3,13
Nº DE ARMAS DE FOGO APREENDIDAS,1,2,3,0,1,1,2,0,1,5,2,4,22
Nº DE FLAGRANTES LAVRADOS,3,9,9,2,7,2,3,3,2,7,1,6,54
Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE INFRATORES APREENDIDOS POR MANDADO,0,0,0,0,0,0,1,0,0,0,0,0,1
Nº DE PESSOAS PRESAS EM FLAGRANTE,3,10,9,2,9,2,3,3,5,8,1,6,61
Nº DE PESSOAS PRESAS POR MANDADO,2,1,0,0,2,2,0,3,4,2,0,0,16
Nº DE PRISÕES EFETUADAS,5,10,9,2,9,4,3,6,6,9,1,6,70
Nº DE VEÍCULOS RECUPERADOS,2,2,4,2,3,4,1,3,2,3,4,5,35
TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS,19,27,31,23,29,26,26,28,21,27,15,29,301
