Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
OCORRÊNCIAS DE PORTE DE ENTORPECENTES,4,2,0,1,2,0,1,2,0,0,1,0,13
OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,1,1,6,3,5,7,4,1,2,2,2,0,34
OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),0,0,0,0,0,0,0,0,0,0,0,0,0
OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,0,0,0,1,2,0,1,1,1,1,0,0,7
Nº DE ARMAS DE FOGO APREENDIDAS,0,0,0,1,1,0,0,1,4,3,0,0,10
Nº DE FLAGRANTES LAVRADOS,6,5,2,5,6,4,9,12,6,8,7,2,72
Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,0,0,0,0,0,0,3,0,1,0,0,0,4
Nº DE INFRATORES APREENDIDOS POR MANDADO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE PESSOAS PRESAS EM FLAGRANTE,6,5,2,6,7,5,10,13,9,12,9,2,86
Nº DE PESSOAS PRESAS POR MANDADO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE PRISÕES EFETUADAS,6,5,2,5,6,4,9,12,6,8,7,2,72
Nº DE VEÍCULOS RECUPERADOS,0,0,0,0,0,0,2,0,0,0,0,0,2
TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS,15,19,18,45,26,14,25,32,20,23,20,9,266
