Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
OCORRÊNCIAS DE PORTE DE ENTORPECENTES,1,0,0,0,3,0,0,0,2,5,2,0,13
OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,0,2,4,2,1,3,0,0,0,1,0,0,13
OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),0,0,0,0,0,0,0,0,0,0,0,0,0
OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,0,2,1,0,0,1,0,0,0,3,0,0,7
N° DE ARMAS DE FOGO APREENDIDAS,2,3,1,0,0,1,0,0,0,3,0,0,10
N° DE FLAGRANTES LAVRADOS,6,6,4,5,7,2,6,7,2,4,4,3,56
N° DE INFRATORES APREENDIDOS EM FLAGRANTE,0,0,1,0,0,0,0,0,0,1,1,0,3
N° DE INFRATORES APREENDIDOS POR MANDADO,0,0,0,0,0,0,0,0,0,0,0,0,0
N° DE PESSOAS PRESAS EM FLAGRANTE,6,8,4,5,9,3,9,7,2,6,4,3,66
N° DE PESSOAS PRESAS POR MANDADO,3,0,0,1,0,0,0,0,0,0,0,0,4
N° DE PRISÕES EFETUADAS,9,6,4,6,7,2,6,7,2,4,4,3,60
N° DE VEÍCULOS RECUPERADOS,1,0,4,1,2,0,2,0,5,1,0,2,18
TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS,17,19,19,21,24,9,9,29,10,17,13,9,196
