Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
OCORRÊNCIAS DE PORTE DE ENTORPECENTES,0,0,1,1,0,1,4,0,1,1,1,0,10
OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,4,1,3,4,2,1,2,1,2,4,3,6,33
OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),0,0,0,0,0,0,0,0,0,0,0,0,0
OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,0,0,0,1,1,0,0,1,0,0,2,0,5
Nº DE ARMAS DE FOGO APREENDIDAS,0,0,0,1,1,1,0,0,4,0,2,0,9
Nº DE FLAGRANTES LAVRADOS,3,4,1,4,2,3,2,1,2,1,0,4,27
Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,0,1,0,0,0,1,0,0,0,0,0,1,3
Nº DE INFRATORES APREENDIDOS POR MANDADO,0,0,0,0,0,0,0,0,0,0,0,1,1
Nº DE PESSOAS PRESAS EM FLAGRANTE,3,4,1,5,2,4,2,1,2,1,0,5,30
Nº DE PESSOAS PRESAS POR MANDADO,0,0,1,4,3,0,4,0,1,1,1,1,16
Nº DE PRISÕES EFETUADAS,3,4,2,8,5,3,6,1,3,2,1,5,43
Nº DE VEÍCULOS RECUPERADOS,1,1,0,1,2,1,1,1,2,2,1,4,17
TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS,17,8,11,16,13,9,38,10,10,5,5,9,151
